# csv,timer,status,time,sum,start,tag,msg,uname.node,user,uname.system,platform.version
# csv,nodejs_simd_d256_n1000_total,ok,0.7258,0.7258,2026-03-25 21:26:46,nodejs_simd_d256_n1000,None,ubuntu-linux-22-04-02-desktop,parallels,linux,6.8.0-106-generic
