format,n,d,payload_bytes,wire_bytes,wire_ratio,build_ms,serialize_ms,deserialize_ms,usable_access_ms,roundtrip_ms,serialize_ms_p95,deserialize_ms_p95,roundtrip_ms_p95,throughput_serialize_MBps,throughput_deserialize_MBps,throughput_roundtrip_MBps,throughput_roundtrip_MBps_std,memory_copies,deserialize_peak_kb,reps,reuse,speedup_vs_json
flatbuffers,100,1024,409600.0,409636.0,1.0001,0.001475,0.17855,0.00415,0.011779999999999999,0.194475,0.23365,0.006075,0.252,2194.8825,94581.255,2014.1100000000001,121.4781,0,0.42,10,False,608.033
arrow_ipc,100,1024,409600.0,409968.0,1.0009,0.1258,0.03855,0.0165,0.008565,0.0636,0.056425,0.041725,0.099,10141.45,23738.47,6147.15,192.5036,0,1.52,10,True,1855.743
contexttable_ipc,100,1024,409600.0,417400.0,1.019,0.6138250000000001,0.0345,0.043825,0.0119595,0.09029999999999999,0.046924999999999994,0.061475,0.11925,11342.182499999999,8969.2475,4344.135,336.6206,0,0.9,10,True,1311.437
json,500,1024,2048000.0,10563698.0,5.1581,0.00155,397.97445,186.164175,22.759863,606.898475,416.285075,193.2924,632.120125,4.91,10.49,3.22,0.0216,2,26638.99,10,False,1.0
pickle,500,1024,2048000.0,2048139.0,1.0001,0.001775,0.23675000000000002,0.22835,0.0012764999999999999,0.4664,0.394275,0.31295,0.6757500000000001,8385.905,8827.36,4246.1075,564.8365,1,2001.86,10,False,1318.667
base64_tobytes,500,1024,2048000.0,2730668.0,1.3333,0.00105,4.159275,6.7059,0.0227655,10.887925,4.4893,6.89995,11.1956,469.63750000000005,291.2675,179.385,0.6791,1,2000.22,10,False,55.71
protobuf,500,1024,2048000.0,2048010.0,1.0,0.000975,114.64255,0.3446,0.42122375,115.4083,117.559675,0.385425,118.352175,17.0375,5685.77,16.925,0.0557,2,2000.96,10,False,5.256
flatbuffers,500,1024,2048000.0,2048036.0,1.0,0.00125,1.186425,0.00835,0.018644,1.213425,1.35495,0.020275,1.3872499999999999,1654.085,236500.4275,1617.47,133.9486,0,0.42,10,False,502.32
arrow_ipc,500,1024,2048000.0,2048368.0,1.0002,0.1231,0.199175,0.0311,0.01555625,0.24584999999999999,0.242275,0.035425,0.2934,9806.7,62799.447499999995,7945.265,57.2236,0,1.52,10,True,2467.474
contexttable_ipc,500,1024,2048000.0,2081800.0,1.0165,2.365,0.189975,0.061275,0.0197195,0.27090000000000003,0.21957500000000002,0.084325,0.312925,10289.74,31936.61,7215.29,246.9977,0,0.9,10,True,2240.773
json,1000,1024,4096000.0,21127155.0,5.158,0.001825,811.68235,389.57910000000004,45.276446,1246.537875,825.324075,411.614425,1280.08555,4.8125,10.0275,3.1325000000000003,0.025,2,53283.62,10,False,1.0
pickle,1000,1024,4096000.0,4096139.0,1.0,0.00185,0.684125,0.634,0.00200475,1.3201749999999999,0.83705,0.865225,1.663725,5917.8575,6285.9575,2990.045,353.715,1,4001.86,10,False,954.524
base64_tobytes,1000,1024,4096000.0,5461336.0,1.3333,0.001025,8.351375,13.4363,0.0242875,21.81195,8.751425,13.699325,22.3792,467.92,290.7425,179.1075,2.0831,1,4000.22,10,False,57.177
